start,end,ori,sf,tf,contrast
119583,119673,135,0.02,8,0.8
126790,126880,135,0.02,8,0.8
194511,194601,135,0.02,8,0.8
206073,206163,135,0.02,8,0.8
233852,233942,135,0.02,8,0.8
55616,55706,135,0.02,15,0.8
83095,83185,135,0.02,15,0.8
121835,121925,135,0.02,15,0.8
144659,144749,135,0.02,15,0.8
145560,145650,135,0.02,15,0.8
162978,163068,135,0.02,15,0.8
206223,206313,135,0.02,15,0.8
218986,219076,135,0.02,15,0.8
6365,6455,135,0.04,1,0.8
33243,33333,135,0.04,1,0.8
121685,121775,135,0.04,1,0.8
148863,148953,135,0.04,1,0.8
168684,168774,135,0.04,1,0.8
172287,172378,135,0.04,1,0.8
172738,172828,135,0.04,1,0.8
183399,183489,135,0.04,1,0.8
55166,55256,135,0.04,2,0.8
61172,61262,135,0.04,2,0.8
86098,86188,135,0.04,2,0.8
88050,88140,135,0.04,2,0.8
108171,108261,135,0.04,2,0.8
197364,197454,135,0.04,2,0.8
208325,208415,135,0.04,2,0.8
208475,208565,135,0.04,2,0.8
13873,13963,135,0.04,4,0.8
26185,26276,135,0.04,4,0.8
52313,52403,135,0.04,4,0.8
53514,53604,135,0.04,4,0.8
107420,107510,135,0.04,4,0.8
147512,147602,135,0.04,4,0.8
197063,197153,135,0.04,4,0.8
237756,237846,135,0.04,4,0.8
23032,23122,135,0.04,8,0.8
101414,101504,135,0.04,8,0.8
148112,148202,135,0.04,8,0.8
153668,153758,135,0.04,8,0.8
154569,154659,135,0.04,8,0.8
167482,167573,135,0.04,8,0.8
232500,232590,135,0.04,8,0.8
236705,236795,135,0.04,8,0.8
38048,38138,135,0.04,15,0.8
41501,41591,135,0.04,15,0.8
64776,64866,135,0.04,15,0.8
66878,66968,135,0.04,15,0.8
102465,102555,135,0.04,15,0.8
150965,151055,135,0.04,15,0.8
194661,194751,135,0.04,15,0.8
227245,227335,135,0.04,15,0.8
136250,136340,135,0.08,1,0.8
137902,137992,135,0.08,1,0.8
191207,191297,135,0.08,1,0.8
191958,192048,135,0.08,1,0.8
204121,204211,135,0.08,1,0.8
210577,210667,135,0.08,1,0.8
210727,210818,135,0.08,1,0.8
237305,237395,135,0.08,1,0.8
17777,17867,135,0.08,2,0.8
32942,33033,135,0.08,2,0.8
43453,43544,135,0.08,2,0.8
76788,76878,135,0.08,2,0.8
78440,78530,135,0.08,2,0.8
94507,94597,135,0.08,2,0.8
181297,181387,135,0.08,2,0.8
